Date,Open,High,Low,Close,Adj Close,Volume
6/7/22,118.660004,121.970001,118.459999,121.669998,120.606377,5373600
6/8/22,120.900002,123.82,120.449997,122.400002,121.330002,4365800
6/9/22,121.349998,122.029999,118.589996,118.599998,117.563217,3892600
6/10/22,117.089996,117.089996,114.260002,114.730003,113.727058,6292600
6/13/22,110.389999,112.019997,109.239998,110.440002,109.474556,6423100
6/14/22,110.370003,111.889999,110.010002,110.720001,109.752106,4548400
6/15/22,112.160004,114.720001,111.209999,113.440002,112.448326,4828700
6/16/22,109.510002,109.900002,105.720001,107.120003,106.183578,7384800
6/17/22,106.150002,108.550003,105.849998,107.339996,106.401649,10256800
6/21/22,108.459999,109.82,108.040001,108.68,107.729935,6211400
6/22/22,105.400002,106.900002,104.610001,104.919998,104.0028,9884000
6/23/22,105.010002,108.099998,104.410004,108,107.055885,8898400
6/24/22,109.93,112.940002,109.610001,112.910004,111.922958,10463700
6/27/22,112.239998,113.209999,109.839996,110.5,109.534035,12644700
6/28/22,108.199997,114.050003,102.480003,102.779999,101.881508,31296500
6/29/22,102.989998,105.610001,101.529999,103.25,102.347404,10326600
6/30/22,101.940002,103.379997,100.779999,102.199997,101.30658,9027400
7/1/22,101.639999,102.5,99.529999,101.18,100.295494,7934300
7/5/22,100.449997,104.379997,100.110001,104.32,103.408051,9948800
7/6/22,104.889999,105.720001,103.449997,104.230003,103.31884,6432900
7/7/22,105.650002,108.279999,105.269997,108.129997,107.184738,7633900
7/8/22,106.580002,108.610001,106.510002,107.93,106.986496,5938600
7/11/22,106.599998,107.089996,104.870003,105.110001,104.191147,4935200
7/12/22,105.010002,105.860001,103.150002,103.760002,102.852951,6017400
7/13/22,101.940002,105.879997,101.559998,105.110001,104.191147,5299400
7/14/22,103.110001,103.800003,101.849998,103.220001,102.317673,6951300
7/15/22,104.760002,105.620003,103.93,104.699997,103.784729,7862000
7/18/22,106.190002,106.68,103.68,103.940002,103.031372,6834800
7/19/22,105.599998,109.580002,105.43,109.190002,108.235481,8973900
7/20/22,109.220001,111.629997,108.870003,111.110001,110.138695,5884600
